#,Title,Brief Description
37,Differential Equation Solver,"Solve a small linear constant-coefficient differential equation using the Laplace transform. Plot the zero-input, zero-state, and total responses for simple inputs."
38,Difference Equation Solver,Simulate a discrete-time system defined by a linear difference equation. Use the Z-transform or direct recursion and compare the two results.
39,Sampling and Reconstruction Lab,"Sample a generated continuous-looking signal and reconstruct it with zero-order hold, linear interpolation, and sinc-like interpolation. Compare errors at several sampling rates."
40,AM Radio Simulator,"Create a simple amplitude-modulated signal, display its spectrum, add noise, and recover the message using envelope detection and low-pass filtering."
41,Digital Pulse Receiver,"Send a sequence of rectangular pulses through a noisy channel and recover the bits. Use convolution for the channel, a matched filter or correlation, and threshold detection."
42,Barcode Signal Reader,"Treat a clean one-dimensional barcode scan as a signal, smooth it, find transitions, and decode a small custom barcode format. Study the effect of blur and sampling rate."
43,Traffic Signal Analyzer,"Analyze a time series of vehicle counts from a road or generated dataset. Smooth noise, find daily or weekly periodicity with the FFT, and flag unusual peaks."
44,Frequency-Domain Image Watermarker,"Create a tool that hides a short message by nudging selected 2D CFT coefficients of an image and a matching extractor that reads the message back from the perturbed spectrum. Test how well extraction survives noise, cropping, and rescaling attacks."
45,Antenna and Speaker Array Beam Pattern Designer,"Design a phased array by setting the number of elements, spacing, and per-element amplitude/phase, then compute and plot the far-field directivity pattern as the Fourier transform of the aperture. Add a steering control and show the total pattern as the convolution of the element pattern with the array factor."
46,Frequency-Domain Image Aligner,"Estimate the translation between two shifted images using phase correlation: compute the 2D CFT of each image, form the normalized cross-power spectrum, and inverse-transform to find the shift from the correlation peak. Display the recovered shift and the aligned overlay."
47,"Fourier-Domain Image Encryptor 
(Double Random Phase Encoding)","Encrypt an image using Double Random Phase Encoding: multiply the image by a random phase mask, take its 2D CFT, multiply the result by a second random phase mask, and inverse-transform to produce noise-like ciphertext. Build the matching decryptor that only recovers the original with the correct pair of secret phase-key images, and show that a slightly wrong key yields pure noise."
48,Phase Vocoder Voice Changer,"Change the pitch of an audio clip independently of its playback speed (or vice versa) using STFT frame analysis with phase-coherent overlap-add reconstruction, the real technique behind vocal pitch-shifting tools. Compare the phase-corrected result against naive resampling to show why phase continuity matters."
49,MRI k-Space Reconstruction Simulator,"Simulate how MRI machines build images: sample a target image's 2D CFT (k-space) along a chosen trajectory such as full grid, radial, or random undersampling, then reconstruct via the inverse 2D CFT. Compare resolution loss and artifacts produced by different sampling patterns and undersampling rates."
50,Fourier Hologram Generator,"Given a target image, compute a phase-only pattern using iterative phase retrieval (alternating forward and inverse 2D CFT) so that Fourier-transforming the pattern reproduces the target image, the principle behind laser-projector holograms and beam shaping. Simulate the optical reconstruction and plot error against the number of iterations."
51,Seasonal Deseasonalizer and Forecaster,"Fit the dominant Fourier Series harmonics of a periodic real-world series such as electricity load, sales, or traffic counts, subtract them to obtain a deseasonalized trend, and forecast forward by re-adding the fitted seasonal component to an extrapolated trend. Evaluate forecast accuracy against held-out data."
52,Harmonic Chef,"Fit dominant Fourier-series harmonics to a periodic real-world time series, such as electricity load, sales, or traffic counts. Remove the fitted seasonal component to obtain a deseasonalized trend, forecast the trend forward, then add the seasonal component back. Evaluate the forecast on held-out data and visualize the original signal, fitted harmonics, trend, and prediction."
53,Frequency Scissors,"Build an audio-processing tool where users upload or record a short audio clip, visualize its waveform and frequency spectrum, and interactively “cut” selected frequency ranges using draggable frequency-band scissors. The modified audio will be reconstructed using the inverse Fourier transform so users can hear how removing, attenuating, or amplifying different frequency bands changes the sound. The project should compare the original and processed audio through waveform plots, spectra, and listening tests, demonstrating practical frequency-domain filtering and audio editing."
